"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-03-31","0.03","0.3","1.2","14","18","10","   35","102.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-01","0.02","0.2","0.4","9","15","4","    3","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-02","0.02","0.2","0.0","11","17","5","   17","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-03","0.03","0.9","0.0","15","18","12","   14","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-04","0.01","0.2","0.4","19","28","10","   10","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-05","0.02","0.2","0.0","22","26","18","   13","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-06","0.04","0.6","0.0","31","44","19","   15","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-07","0.12","1.3","0.0","34","41","26","   28","94.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-08","0.00","0.0","1.2","33","41","26","   34","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-09","0.00","0.0",,"41","57","26","   15",
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-10","0.08","1.0","0.4","33","40","26","    1","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-11","0.12","1.5","1.2","21","26","17","    1","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-12","0.02","0.2","0.0","22","28","16","   33","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-13","0.00","0.0","0.0","27","41","14","   33",
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-14","0.10","0.0","0.0","38","47","29","   33","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-15","0.26","2.6","0.8","31","35","27","   35","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-16","0.00","0.0","0.0","37","51","24",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-17","0.08","0.0",,"46","54","38","   30","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-18","0.06","0.1",,"36","41","31","   36","91.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-19","0.00","0.0",,"44","59","30","   33","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-20","0.00","0.0",,"54","67","42","   29","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-21","0.00","0.0",,"55","67","44","   28","129.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-22","0.04","0.0",,"48","56","39","    1","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-23","0.01","0.0",,"45","57","34","   35","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-24","0.00","0.0",,"48","60","35","   29","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-25","0.00","0.0",,"48","64","32","   28","190.1"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-26","0.00","0.0",,"47","59","36","   29","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-27","0.00","0.0",,"48","62","35","   28","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-28","0.00","0.0",,"47","63","32","   28","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-29","0.00","0.0",,"54","71","38","   27","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-04-30","0.00","0.0",,"54","66","42","    1","140.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-01","0.00","0.0",,"46","59","33","   17",
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-02","0.00","0.0",,"50","67","32","   16","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-03","0.42","0.0",,"49","62","35","   35","136.5"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-04","0.02","0.0",,"40","44","36","   34","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-05","0.00","0.0",,"46","61","30","   14","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-06","0.00","0.0",,"48","62","34","   17","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-07","0.03","0.0",,"52","62","43","   18","111.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-08","0.06","0.0",,"45","52","39","   35","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-09","0.00","0.0",,"44","57","31","    4","111.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-10","0.00","0.0","0.0","39","45","33","   14","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-11","0.00","0.0",,"39","47","31","   19","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-12","0.00","0.0",,"43","51","35","   15","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-13","0.00","0.0",,"46","60","31","   29","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-14","0.00","0.0",,"51","63","38","    1","140.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-15","0.00","0.0",,"50","65","36","   17","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-16","0.00","0.0",,"54","71","37","   22","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-17","0.00","0.0",,"57","71","43","   21","78.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-18","0.00","0.0",,"58","68","48","   11","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-19","0.00","0.0",,"52","58","47","    1","111.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-20","0.13","0.0",,"50","53","46",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-21","1.31","0.0",,"42","47","37","   32","161.1"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-22","0.69","0.0",,"39","42","37","   31","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-23","0.00","0.0",,"50","60","40","   33","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-24","0.00","0.0",,"53","69","36","   29","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-25","0.00","0.0",,"57","69","45","   29","102.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-26","0.08","0.0",,"51","60","43","   34","158.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-27","0.00","0.0",,"50","63","36","    3","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-28","0.00","0.0",,"52","68","36","   16","94.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-29","0.00","0.0",,"58","71","45","   13","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-30","0.00","0.0",,"65","79","50","   15","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-05-31","1.61","0.0",,"59","67","51","   32","111.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-01","0.00","0.0",,"54","66","43","   28","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-02","0.00","0.0",,"56","71","41","   29","94.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-03","0.00","0.0",,"55","66","44","   29","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-04","0.00","0.0",,"51","61","42","   34","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-05","0.07","0.0",,"52","65","39","   15","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-06","0.14","0.0",,"58","66","49","   35","91.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-07","0.38","0.0",,"49","53","46","   32","136.5"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-08","0.14","0.0",,"51","62","40","   32","123.0"
