precip,temp_max,temp_min
0.01,71.0,54.0
0.0,26.0,18.0
0.0,72.0,55.0
0.0,68.0,35.0
0.0,18.0,12.0
0.0,48.0,35.0
0.0,49.0,31.0
0.0,60.0,21.0
0.01,40.0,15.0
0.01,61.0,34.0
0.04,75.0,52.0
0.08,42.0,31.0
0.01,36.0,17.0
0.0,35.0,8.0
0.03,44.0,22.0
0.02,83.0,55.0
0.13,66.0,48.0
0.0,-9.0,-27.0
0.0,36.0,15.0
0.0,78.0,51.0
0.02,41.0,20.0
0.0,80.0,54.0
0.0,44.0,21.0
0.0,70.0,37.0
0.0,38.0,19.0
0.01,20.0,-1.0
0.0,30.0,5.0
0.0,80.0,38.0
0.01,68.0,47.0
0.02,62.0,33.0
0.0,62.0,38.0
0.0,46.0,25.0
0.01,69.0,46.0
0.0,61.0,27.0
0.0,26.0,20.0
0.03,49.0,32.0
0.0,73.0,43.0
0.0,39.0,20.0
0.03,48.0,23.0
0.36,79.0,56.0
0.0,19.0,-6.0
0.0,62.0,44.0
0.02,28.0,17.0
0.0,27.0,8.0
0.02,16.0,6.0
0.16,73.0,48.0
0.32,26.0,0.0
0.01,49.0,23.0
0.02,57.0,32.0
0.0,19.0,15.0
0.01,70.0,39.0
0.01,33.0,9.0
0.0,74.0,53.0
0.0,58.0,41.0
0.0,3.0,-6.0
0.04,11.0,-6.0
0.0,70.0,52.0
0.0,57.0,28.0
0.0,57.0,33.0
0.0,9.0,-1.0
0.0,0.0,-8.0
0.0,58.0,28.0
0.04,46.0,25.0
0.0,81.0,50.0
0.0,44.0,33.0
0.0,61.0,33.0
0.0,83.0,49.0
0.0,47.0,32.0
0.0,71.0,51.0
0.0,71.0,40.0
0.0,57.0,27.0
0.0,44.0,22.0
0.02,68.0,54.0
0.0,50.0,28.0
0.0,-10.0,-19.0
0.0,55.0,26.0
0.08,59.0,41.0
0.01,47.0,5.0
0.01,48.0,23.0
0.0,68.0,44.0
0.0,75.0,47.0
0.0,31.0,9.0
0.0,66.0,34.0
0.0,58.0,27.0
0.01,14.0,-6.0
0.02,65.0,46.0
0.0,85.0,58.0
0.0,65.0,28.0
0.0,11.0,4.0
0.0,55.0,31.0
0.01,31.0,26.0
0.0,6.0,-6.0
0.01,41.0,22.0
0.02,39.0,17.0
0.0,73.0,42.0
0.0,69.0,45.0
0.0,45.0,11.0
0.0,8.0,-8.0
0.01,13.0,-15.0
0.96,48.0,44.0
0.0,56.0,41.0
0.0,75.0,42.0
0.0,46.0,26.0
0.0,66.0,39.0
0.0,72.0,49.0
0.0,80.0,53.0
0.0,75.0,33.0
0.0,58.0,27.0
0.0,55.0,22.0
0.0,17.0,2.0
0.0,30.0,2.0
0.02,49.0,17.0
0.01,42.0,34.0
0.0,10.0,-12.0
0.01,20.0,5.0
0.0,61.0,38.0
0.01,-1.0,-12.0
0.51,56.0,47.0
0.01,31.0,14.0
0.01,48.0,12.0
0.0,55.0,35.0
0.0,67.0,32.0
0.0,51.0,26.0
0.01,13.0,5.0
0.0,58.0,36.0
0.0,59.0,27.0
0.4,58.0,50.0
0.0,44.0,19.0
0.0,74.0,43.0
0.17,37.0,33.0
0.0,78.0,47.0
0.0,18.0,9.0
0.0,38.0,11.0
0.01,41.0,23.0
0.04,33.0,17.0
0.02,33.0,22.0
0.0,53.0,34.0
0.26,73.0,49.0
0.0,83.0,56.0
0.0,53.0,25.0
0.0,76.0,44.0
0.0,67.0,49.0
0.0,58.0,26.0
0.0,38.0,27.0
0.0,83.0,47.0
1.16,53.0,41.0
0.0,71.0,44.0
0.0,93.0,57.0
0.59,75.0,48.0
0.0,65.0,33.0
0.0,77.0,50.0
0.03,51.0,36.0
0.03,62.0,48.0
0.0,75.0,55.0
0.0,79.0,51.0
0.07,35.0,27.0
0.03,58.0,34.0
0.05,40.0,33.0
0.0,75.0,51.0
0.0,56.0,36.0
0.0,55.0,27.0
0.0,42.0,25.0
0.0,40.0,12.0
0.0,6.0,-20.0
0.0,67.0,40.0
0.0,46.0,19.0
0.31,51.0,35.0
0.0,12.0,7.0
0.06,81.0,52.0
0.01,76.0,46.0
0.0,62.0,32.0
0.0,49.0,29.0
0.0,29.0,6.0
0.0,-11.0,-25.0
0.01,52.0,27.0
0.06,69.0,54.0
0.0,40.0,21.0
0.35,44.0,35.0
0.0,45.0,11.0
0.0,45.0,22.0
0.0,48.0,28.0
0.0,57.0,50.0
0.01,38.0,21.0
0.02,45.0,28.0
0.0,49.0,18.0
0.0,79.0,52.0
0.0,86.0,51.0
0.0,2.0,-14.0
0.01,16.0,6.0
0.06,49.0,32.0
0.13,57.0,38.0
0.0,63.0,35.0
0.15,10.0,-5.0
0.0,34.0,17.0
0.0,30.0,17.0
0.0,47.0,31.0
0.0,34.0,18.0
0.0,56.0,27.0
0.0,74.0,45.0
0.0,69.0,49.0
0.0,62.0,31.0
0.02,0.0,-11.0
0.0,39.0,24.0
0.0,74.0,42.0
0.0,56.0,30.0
0.0,85.0,49.0
0.0,44.0,26.0
0.0,37.0,31.0
0.02,50.0,22.0
0.0,88.0,52.0
0.0,75.0,45.0
0.0,76.0,55.0
0.01,38.0,23.0
0.0,53.0,26.0
0.0,37.0,6.0
0.0,79.0,47.0
0.0,54.0,15.0
0.08,30.0,26.0
0.0,75.0,51.0
0.0,77.0,43.0
0.0,81.0,56.0
0.0,66.0,44.0
0.03,69.0,49.0
0.0,40.0,24.0
0.01,34.0,19.0
0.0,47.0,28.0
0.0,42.0,22.0
0.0,74.0,54.0
0.0,46.0,31.0
0.0,13.0,-2.0
0.01,77.0,48.0
0.03,78.0,52.0
0.0,72.0,63.0
0.01,49.0,31.0
0.01,80.0,51.0
0.0,83.0,58.0
0.0,50.0,29.0
0.0,71.0,44.0
0.0,68.0,44.0
0.0,53.0,28.0
0.03,1.0,-20.0
0.0,11.0,-10.0
0.0,45.0,30.0
0.0,27.0,-15.0
0.0,72.0,47.0
0.02,63.0,22.0
0.0,72.0,42.0
0.0,59.0,40.0
0.0,27.0,11.0
0.0,61.0,36.0
0.0,74.0,60.0
0.05,68.0,45.0
0.04,19.0,6.0
0.0,41.0,21.0
0.0,55.0,36.0
0.0,43.0,26.0
0.15,80.0,53.0
0.02,49.0,32.0
0.0,28.0,3.0
0.02,67.0,59.0
0.0,39.0,25.0
0.0,67.0,39.0
0.16,65.0,53.0
0.0,57.0,32.0
0.04,30.0,22.0
0.15,22.0,2.0
0.0,44.0,18.0
0.0,16.0,-14.0
0.0,25.0,2.0
0.02,54.0,46.0
0.0,58.0,25.0
0.0,68.0,47.0
0.0,53.0,22.0
0.0,68.0,50.0
0.22,53.0,48.0
0.0,76.0,51.0
0.11,31.0,18.0
0.0,82.0,45.0
1.25,67.0,53.0
0.0,39.0,25.0
0.0,1.0,-12.0
0.0,56.0,27.0
0.0,87.0,52.0
0.0,63.0,47.0
0.0,-5.0,-26.0
0.0,20.0,7.0
0.05,34.0,13.0
0.06,45.0,29.0
0.0,43.0,29.0
0.0,33.0,11.0
0.91,86.0,59.0
0.0,56.0,30.0
0.04,11.0,-6.0
0.09,48.0,38.0
0.0,42.0,5.0
0.0,48.0,24.0
0.0,45.0,20.0
0.52,34.0,28.0
0.02,70.0,47.0
0.15,64.0,36.0
0.0,54.0,23.0
0.0,82.0,50.0
0.43,43.0,38.0
0.0,48.0,24.0
0.0,26.0,8.0
0.08,21.0,-2.0
0.0,27.0,4.0
0.11,32.0,25.0
0.0,29.0,20.0
0.0,65.0,33.0
0.0,35.0,23.0
0.0,49.0,22.0
0.02,64.0,55.0
0.0,58.0,48.0
0.0,36.0,11.0
0.0,62.0,44.0
0.0,79.0,51.0
0.0,66.0,46.0
0.01,-5.0,-13.0
0.0,90.0,54.0
0.0,39.0,16.0
0.0,67.0,41.0
0.01,42.0,10.0
0.0,14.0,-8.0
0.0,55.0,15.0
0.0,13.0,3.0
0.03,68.0,55.0
0.03,36.0,19.0
0.0,63.0,33.0
0.0,36.0,13.0
0.0,75.0,45.0
0.06,38.0,18.0
0.0,20.0,-3.0
0.01,73.0,54.0
0.02,22.0,10.0
0.0,52.0,28.0
0.0,74.0,48.0
0.0,60.0,39.0
0.0,70.0,45.0
0.0,78.0,44.0
0.0,53.0,28.0
0.0,35.0,25.0
0.09,37.0,8.0
0.01,88.0,62.0
0.07,53.0,35.0
0.0,74.0,60.0
0.0,44.0,24.0
0.28,39.0,33.0
0.0,35.0,2.0
0.0,39.0,22.0
0.0,79.0,44.0
0.17,69.0,54.0
0.0,39.0,23.0
0.07,35.0,27.0
0.0,9.0,-5.0
0.07,17.0,2.0
0.0,61.0,40.0
0.0,73.0,39.0
0.0,43.0,23.0
0.04,14.0,0.0
0.0,50.0,11.0
0.0,28.0,10.0
0.0,74.0,50.0
0.01,55.0,35.0
0.0,63.0,32.0
0.42,66.0,55.0
0.0,33.0,8.0
0.04,41.0,30.0
0.0,78.0,43.0
0.11,26.0,15.0
0.0,51.0,12.0
0.0,59.0,31.0
0.02,66.0,35.0
0.0,86.0,49.0
0.0,47.0,33.0
0.13,58.0,42.0
0.0,95.0,57.0
0.13,76.0,45.0
0.0,0.0,-21.0
0.01,48.0,20.0
0.0,57.0,25.0
0.12,22.0,19.0
0.0,38.0,10.0
0.0,9.0,0.0
0.0,78.0,46.0
0.28,71.0,50.0
0.0,38.0,21.0
0.0,25.0,-7.0
0.27,68.0,54.0
0.0,50.0,33.0
0.01,3.0,-10.0
0.12,76.0,50.0
0.0,33.0,7.0
0.0,45.0,30.0
0.39,44.0,29.0
0.0,56.0,40.0
0.0,85.0,57.0
0.0,45.0,19.0
0.27,44.0,42.0
0.0,71.0,45.0
0.0,58.0,31.0
0.11,55.0,29.0
0.0,43.0,21.0
0.0,76.0,43.0
0.08,71.0,49.0
0.0,57.0,34.0
1.16,80.0,48.0
0.11,27.0,0.0
0.0,76.0,43.0
0.0,46.0,26.0
0.0,73.0,46.0
0.0,62.0,30.0
0.46,65.0,48.0
0.0,17.0,9.0
0.0,19.0,4.0
0.0,22.0,5.0
0.14,58.0,40.0
0.0,63.0,43.0
0.0,77.0,53.0
0.0,62.0,46.0
0.3,75.0,56.0
0.37,5.0,-18.0
0.0,57.0,32.0
0.0,89.0,57.0
0.0,50.0,31.0
0.0,45.0,30.0
0.02,34.0,24.0
0.0,40.0,29.0
0.04,68.0,53.0
0.28,34.0,29.0
0.04,45.0,38.0
0.0,46.0,21.0
0.06,79.0,50.0
0.0,73.0,56.0
0.07,20.0,13.0
0.11,52.0,47.0
0.06,7.0,0.0
0.03,83.0,49.0
0.0,61.0,32.0
0.0,52.0,33.0
0.0,55.0,34.0
0.0,41.0,25.0
0.0,20.0,9.0
0.37,58.0,39.0
0.0,79.0,57.0
0.02,35.0,11.0
0.0,65.0,41.0
