"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-10","0.00",,,"61","32",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-11","0.00",,,"64","33",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-12","0.24",,,"53","32",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-13","0.02",,,"52","27",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-14","0.00",,,"48","33",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-15","0.07","0.4",,"54","30",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-16","0.00",,,"69","35",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-17","0.00",,,"76","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-18","0.02",,,"46","31",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-19","0.02","0.8",,"53","31",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-20","0.00",,,"45","33",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-21","0.00","0.8",,"58","27",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-22","0.00",,,"60","30",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-23","0.00",,,"70","35",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-24","0.00",,,"71","39",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-25","0.01",,,"68","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-26","0.00",,,"70","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-27","0.00",,,"70","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-29","0.00",,,"80","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-30","0.00",,,"77","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-31","0.00",,,"71","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-01","0.00",,,"55","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-02","0.00",,,"66","29",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-03","0.00",,,"73","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-04","0.00",,,"70","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-05","0.19",,,"50","34",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-06","0.30",,,"47","32",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-07","0.00",,,"52","31",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-08","0.00",,,"54","30",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-09","0.00",,,"59","35",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-10","0.00",,,"66","34",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-11","0.00",,,"73","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-12","0.27",,,"72","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-13","0.28",,,"80","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-14","0.00",,,"78","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-15","0.00",,,"78","53",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-16","0.52",,,"73","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-17","0.00",,,"72","46",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-18","0.08",,,"69","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-19","0.00",,,"72","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-20","0.00",,,"72","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-21","0.00",,,"61","50",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-22","0.00",,,"63","46",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-23","0.00",,,"69","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-24","0.00",,,"75","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-25","0.00",,,"77","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-26","0.00",,,"71","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-27","0.00",,,"74","35",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-28","0.00",,,"77","50",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-29","0.00",,,"73","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-06-30","0.00",,,"67","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-01","0.00",,,"69","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-02","0.04",,,"70","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-03","0.00",,,"70","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-04","0.06",,,"78","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-05","0.00",,,"72","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-06","0.78",,,"65","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-07","0.10",,,"68","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-08","0.02",,,"66","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-09","0.07",,,"62","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-10","0.00",,,"72","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-11","0.00",,,"70","50",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-12","0.00",,,"78","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-13","0.64",,,"65","53",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-14","0.03",,,"58","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-15","0.03",,,"69","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-16","0.00",,,"80","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-17","0.00",,,"80","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-18","0.00",,,"86","55",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-19","0.07",,,"72","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-20","0.00",,,"72","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-21","0.00",,,"80","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-22","0.00",,,"87","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-23","0.00",,,"81","56",,
